service_quality
3.7340000000000004
2.832
2.034
3.134
2.1
3.4
2.1
3.232
2.8
3.6659999999999995
3.9
3.0
3.032
2.2
3.2
2.1
1.4
2.034
1.734
1.734
2.468
2.1
2.1
2.3
3.668
3.8
3.8
3.0
2.934
2.1
3.668
3.066
2.5
2.666
3.1
2.732
2.8
3.032
2.868
2.8
3.0
3.5340000000000003
1.666
2.634
1.0
3.7340000000000004
2.866
3.2340000000000004
3.3340000000000005
3.134
3.4659999999999997
3.166
3.7340000000000004
4.268000000000001
3.1
4.434
3.932
2.734
3.7340000000000004
3.7340000000000004
2.632
1.8
3.134
2.0
3.368
1.466
3.9659999999999997
4.0
3.434
4.8
2.6
3.332
3.2
4.366
2.568
3.5
3.0
2.066
2.434
3.6
2.566
3.934
4.0680000000000005
3.7340000000000004
3.168
3.0
4.2
1.5
2.0
4.2
2.5
2.834
1.734
2.266
1.0
3.868
4.1
3.1
4.0
2.566
2.5
1.566
4.2
2.734
2.8
1.6320000000000001
4.4
4.4
2.668
2.466
1.2
4.0
4.2
3.932
1.634
3.066
3.6
2.632
3.0
4.434
3.134
3.0
